Label,Method,User-Agent,Pragma,Cache-Control,Accept,Accept-encoding,Accept-charset,language,host,cookie,content-type,connection,length,content,classification,URL
Normal,0,0,0,0,1,0,0,0,0,36266,0,1,0,0,0,10914
Normal,0,0,0,0,1,0,0,0,0,59804,0,1,0,0,0,612
Normal,0,0,0,0,1,0,0,0,0,1584,0,1,0,0,0,757
Anomalous,0,0,0,0,1,0,0,0,0,17838,0,1,0,0,1,8560
Anomalous,1,0,0,0,1,0,0,0,0,42191,1,0,156,8988,1,10948
Normal,0,0,0,0,1,0,0,0,0,45757,0,1,0,0,0,800
Normal,0,0,0,0,1,0,0,0,0,40964,0,1,0,0,0,612
Normal,0,0,0,0,1,0,0,0,0,9708,0,1,0,0,0,398
Normal,0,0,0,0,1,0,0,0,0,51882,0,1,0,0,0,8312
Normal,0,0,0,0,1,0,0,0,0,1494,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,57657,0,1,0,0,0,8561
Normal,0,0,0,0,1,0,0,0,0,53945,0,1,0,0,0,363
Normal,1,0,0,0,1,0,0,0,0,39066,1,0,216,111,0,8443
Normal,0,0,0,0,1,0,0,0,0,8551,0,1,0,0,0,3422
Normal,0,0,0,0,1,0,0,0,0,52663,0,1,0,0,0,8312
Normal,0,0,0,0,1,0,0,0,0,20907,0,1,0,0,0,398
Normal,0,0,0,0,1,0,0,0,0,22750,0,1,0,0,0,13422
Anomalous,0,0,0,0,1,0,0,0,0,61016,0,1,0,0,1,268
Anomalous,0,0,0,0,1,0,0,0,0,40246,0,1,0,0,1,246
Normal,0,0,0,0,1,0,0,0,0,27543,0,1,0,0,0,528
Anomalous,0,0,0,0,1,0,0,0,0,6244,0,1,0,0,1,13474
Anomalous,0,0,0,0,1,0,0,0,0,59410,0,1,0,0,1,8522
Anomalous,1,0,0,0,1,0,0,0,0,41926,1,0,158,9680,1,884
Normal,1,0,0,0,1,0,0,0,0,30928,1,0,334,2196,0,3578
Normal,1,0,0,0,1,0,0,0,0,53935,1,0,306,3080,0,5840
Normal,1,0,0,0,1,0,0,0,0,59734,1,0,256,5891,0,8600
Normal,0,0,0,0,1,0,0,0,0,23044,0,1,0,0,0,4066
Normal,0,0,0,0,1,0,0,0,0,48497,0,1,0,0,0,1546
Normal,1,0,0,0,1,0,0,0,0,52167,1,0,117,10917,0,10948
Anomalous,0,0,0,0,1,0,0,0,0,10437,0,1,0,0,1,252
Normal,0,0,0,0,1,0,0,0,0,2791,0,1,0,0,0,2738
Normal,0,0,0,0,1,0,0,0,0,26960,0,1,0,0,0,8561
Normal,0,0,0,0,1,0,0,0,0,1189,0,1,0,0,0,570
Normal,0,0,0,0,1,0,0,0,0,12860,0,1,0,0,0,528
Normal,1,0,0,0,1,0,0,0,0,38941,1,0,280,6167,0,8600
Normal,1,0,0,0,1,0,0,0,0,39979,1,0,314,4516,0,5840
Normal,0,0,0,0,1,0,0,0,0,17934,0,1,0,0,0,8507
Anomalous,0,0,0,0,1,0,0,0,0,17537,0,1,0,0,1,4259
Anomalous,1,0,0,0,1,0,0,0,0,22397,1,0,377,1132,1,3578
Normal,0,0,0,0,1,0,0,0,0,40626,0,1,0,0,0,3352
Anomalous,1,0,0,0,1,0,0,0,0,35982,1,0,260,6927,1,8600
Normal,0,0,0,0,1,0,0,0,0,58376,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,16601,0,1,0,0,0,3352
Anomalous,0,0,0,0,1,0,0,0,0,34658,0,1,0,0,1,8720
Normal,0,0,0,0,1,0,0,0,0,36966,0,1,0,0,0,8354
Normal,1,0,0,0,1,0,0,0,0,42189,1,0,125,7619,0,10948
Normal,0,0,0,0,1,0,0,0,0,8194,0,1,0,0,0,3460
Anomalous,0,0,0,0,1,0,0,0,0,60198,0,1,0,0,1,3300
Anomalous,0,0,0,0,1,0,0,0,0,21598,0,1,0,0,1,7667
Normal,0,0,0,0,1,0,0,0,0,56732,0,1,0,0,0,719
Normal,0,0,0,0,1,0,0,0,0,36284,0,1,0,0,0,1961
Normal,0,0,0,0,1,0,0,0,0,2810,0,1,0,0,0,3282
Normal,0,0,0,0,1,0,0,0,0,10750,0,1,0,0,0,684
Normal,1,0,0,0,1,0,0,0,0,2609,1,0,124,11004,0,10948
Normal,0,0,0,0,1,0,0,0,0,49007,0,1,0,0,0,3422
Anomalous,0,0,0,0,1,0,0,0,0,36674,0,1,0,0,1,13474
Normal,0,0,0,0,1,0,0,0,0,51766,0,1,0,0,0,8507
Anomalous,0,0,0,0,1,0,0,0,0,39437,0,1,0,0,1,220
Anomalous,0,0,0,0,1,0,0,0,0,20521,0,1,0,0,1,4105
Anomalous,0,0,0,0,1,0,0,0,0,21248,0,1,0,0,1,183
Normal,0,0,0,0,1,0,0,0,0,55198,0,1,0,0,0,684
Normal,0,0,0,0,1,0,0,0,0,3143,0,1,0,0,0,570
Normal,0,0,0,0,1,0,0,0,0,51150,0,1,0,0,0,9107
Normal,0,0,0,0,1,0,0,0,0,1025,0,1,0,0,0,612
Anomalous,1,0,0,0,1,0,0,0,0,18712,1,0,347,3414,1,5840
Normal,0,0,0,0,1,0,0,0,0,10321,0,1,0,0,0,363
Normal,0,0,0,0,1,0,0,0,0,58647,0,1,0,0,0,398
Normal,1,0,0,0,1,0,0,0,0,9733,1,0,256,5158,0,8600
Normal,0,0,0,0,1,0,0,0,0,42544,0,1,0,0,0,570
Normal,1,0,0,0,1,0,0,0,0,8427,1,0,333,2288,0,3578
Anomalous,0,0,0,0,1,0,0,0,0,49868,0,1,0,0,1,9386
Anomalous,1,0,0,0,1,0,0,0,0,3326,1,0,141,7609,1,884
Normal,0,0,0,0,1,0,0,0,0,26221,0,1,0,0,0,10914
Anomalous,0,0,0,0,1,0,0,0,0,31792,0,1,0,0,1,11039
Normal,0,0,0,0,1,0,0,0,0,52493,0,1,0,0,0,363
Normal,1,0,0,0,1,0,0,0,0,10482,1,0,134,8334,0,884
Normal,0,0,0,0,1,0,0,0,0,47705,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,52115,0,1,0,0,0,398
Normal,0,0,0,0,1,0,0,0,0,7724,0,1,0,0,0,13422
Normal,0,0,0,0,1,0,0,0,0,10408,0,1,0,0,0,528
Anomalous,1,0,0,0,1,0,0,0,0,45865,1,0,260,5244,1,8600
Normal,0,0,0,0,1,0,0,0,0,4539,0,1,0,0,0,8409
Anomalous,1,0,0,0,1,0,0,0,0,43505,1,0,293,129,1,8443
Anomalous,2,0,0,0,0,0,0,0,1,27180,1,0,72,30,1,13355
Normal,0,0,0,0,1,0,0,0,0,57019,0,1,0,0,0,438
Normal,0,0,0,0,1,0,0,0,0,12271,0,1,0,0,0,684
Normal,0,0,0,0,1,0,0,0,0,50920,0,1,0,0,0,684
Anomalous,1,0,0,0,1,0,0,0,0,48472,1,0,227,164,1,8443
Normal,0,0,0,0,1,0,0,0,0,35262,0,1,0,0,0,398
Anomalous,1,0,0,0,1,0,0,0,0,27500,1,0,99,35,1,13355
Normal,0,0,0,0,1,0,0,0,0,59319,0,1,0,0,0,476
Normal,1,0,0,0,1,0,0,0,0,47154,1,0,72,30,0,13355
Normal,0,0,0,0,1,0,0,0,0,35883,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,56784,0,1,0,0,0,3460
Anomalous,0,0,0,0,1,0,0,0,0,43648,0,1,0,0,1,300
Normal,0,0,0,0,1,0,0,0,0,43805,0,1,0,0,0,476
Normal,0,0,0,0,1,0,0,0,0,19092,0,1,0,0,0,5231
Anomalous,1,0,0,0,1,0,0,0,0,53435,1,0,283,5793,1,8600
Normal,0,0,0,0,1,0,0,0,0,40274,0,1,0,0,0,3422
Normal,0,0,0,0,1,0,0,0,0,2935,0,1,0,0,0,612
Normal,0,0,0,0,1,0,0,0,0,36485,0,1,0,0,0,684
Anomalous,1,0,0,0,1,0,0,0,0,6711,1,0,344,1131,1,3578
Anomalous,0,0,0,0,1,0,0,0,0,2832,0,1,0,0,1,4099
Normal,0,0,0,0,1,0,0,0,0,38321,0,1,0,0,0,3422
Normal,0,0,0,0,1,0,0,0,0,28332,0,1,0,0,0,13422
Anomalous,0,0,0,0,1,0,0,0,0,43664,0,1,0,0,1,11950
Normal,0,0,0,0,1,0,0,0,0,20916,0,1,0,0,0,12358
Anomalous,0,0,0,0,1,0,0,0,0,21222,0,1,0,0,1,1265
Anomalous,0,0,0,0,1,0,0,0,0,19017,0,1,0,0,1,119
Anomalous,0,0,0,0,1,0,0,0,0,51376,0,1,0,0,1,8406
Anomalous,1,0,0,0,1,0,0,0,0,56088,1,0,227,164,1,8443
Normal,1,0,0,0,1,0,0,0,0,47132,1,0,111,8577,0,884
Normal,0,0,0,0,1,0,0,0,0,52172,0,1,0,0,0,8507
Normal,0,0,0,0,1,0,0,0,0,47606,0,1,0,0,0,3385
Normal,0,0,0,0,1,0,0,0,0,39831,0,1,0,0,0,684
Anomalous,0,0,0,0,1,0,0,0,0,35322,0,1,0,0,1,6410
Normal,1,0,0,0,1,0,0,0,0,10743,1,0,216,111,0,8443
Normal,0,0,0,0,1,0,0,0,0,37011,0,1,0,0,0,3422
Anomalous,0,0,0,0,1,0,0,0,0,18366,0,1,0,0,1,12818
